Frequency [Hz],TVR [dB],G [S],B [S]
25100,104.184653,1.20679E-05,0.000828105
25200,104.1280632,1.20679E-05,0.000831384
25300,104.0923824,1.20679E-05,0.000834623
25400,104.0669434,1.20679E-05,0.000836635
25500,104.0669434,1.20679E-05,0.000842921
25600,104.0669434,1.20682E-05,0.000846521
25700,104.1290273,1.2072E-05,0.000849648
25800,104.3861556,1.21376E-05,0.000854479
25900,104.6671997,1.32556E-05,0.000857742
26000,104.852758,1.32158E-05,0.000862523
26100,104.9318352,1.315E-05,0.000866358
26200,105.1539447,1.44856E-05,0.000869875
26300,105.2703122,1.43748E-05,0.000874301
26400,105.2268975,1.43594E-05,0.000877184
26500,105.1330353,1.4221E-05,0.000879854
26600,105.1330353,1.3342E-05,0.000886093
26700,105.4830671,1.44321E-05,0.000889412
26800,105.9689625,1.48177E-05,0.000890658
26900,106.2567177,1.61333E-05,0.000896805
27000,106.4291201,1.63764E-05,0.000900752
27100,106.3175819,1.66514E-05,0.000903116
27200,106.4035026,1.66803E-05,0.000907492
27300,106.4953924,1.69993E-05,0.000912575
27400,106.5544913,1.72264E-05,0.000915683
27500,106.6618239,1.72369E-05,0.000917826
27600,106.8822479,1.72112E-05,0.000922566
27700,107.1697526,1.86559E-05,0.000926835
27800,107.2652192,1.89579E-05,0.000930798
27900,107.6431748,1.93351E-05,0.000933263
28000,107.9062574,2.01364E-05,0.000939027
28100,107.9391096,2.01147E-05,0.000944785
28200,107.8715577,2.01134E-05,0.000947391
28300,107.9009701,2.01148E-05,0.000950465
28400,108.0944019,2.0133E-05,0.00095365
28500,108.4711075,2.11047E-05,0.000958738
28600,108.7629686,2.18254E-05,0.000960529
28700,109.2888333,2.34743E-05,0.000963642
28800,109.5158578,2.41393E-05,0.000968645
28900,109.5190885,2.41361E-05,0.000975256
29000,109.5717435,2.41366E-05,0.000976922
29100,109.7627914,2.47211E-05,0.000980256
29200,109.8869123,2.52831E-05,0.000985191
29300,110.0291613,2.52969E-05,0.000986811
29400,109.9968095,2.70568E-05,0.00099028
29500,109.9511233,2.70126E-05,0.000995107
29600,109.9052113,2.69966E-05,0.000998495
29700,109.8712218,2.6786E-05,0.001000147
29800,109.8130923,2.53193E-05,0.001006722
29900,109.6635437,2.52121E-05,0.001011642
30000,109.5047298,2.40959E-05,0.001018226
30100,109.4230248,2.41282E-05,0.00101989
30200,109.5278908,2.40639E-05,0.001024975
30300,109.6343125,2.53973E-05,0.001030579
30400,109.8557047,2.51662E-05,0.00103299
30500,110.2609481,2.71602E-05,0.001037572
30600,110.4223358,2.78353E-05,0.00104358
30700,110.5616624,2.90202E-05,0.001048708
30800,110.7836191,2.94859E-05,0.001050966
30900,110.9021821,3.05E-05,0.00105722
31000,111.0839026,3.04573E-05,0.001062694
31100,111.2086302,3.04166E-05,0.001066855
31200,111.4307303,3.14252E-05,0.0010695
31300,111.791323,3.21891E-05,0.001072878
31400,112.06861,3.33444E-05,0.001078224
31500,112.240315,3.32082E-05,0.001080916
31600,112.3500044,3.45707E-05,0.001086467
31700,112.4740529,3.44857E-05,0.001090704
31800,112.4772244,3.44781E-05,0.001096151
31900,112.5502583,3.4452E-05,0.001097296
32000,112.7153876,3.59629E-05,0.001102614
32100,112.7974281,3.61309E-05,0.001106756
32200,112.8720732,3.67526E-05,0.001112691
32300,112.9345499,3.73876E-05,0.001117443
32400,113.0712791,3.78067E-05,0.001120582
32500,113.1801253,3.85124E-05,0.001127092
32600,113.3882028,3.84737E-05,0.001129079
32700,113.7991036,3.95785E-05,0.001132301
32800,114.0126506,4.18916E-05,0.001138677
32900,114.0861006,4.30929E-05,0.001142182
33000,114.2180272,4.42331E-05,0.001143803
