Frequency [Hz],TVR [dB],R [Ohm],X [Ohm]
10100,121.2863,15.44614556,-950.9263802
10200,121.2863,15.34846269,-941.4995998
10300,121.2863,15.29076745,-932.2063931
10400,121.2863,15.24881542,-922.4292726
10500,121.37284,15.26306398,-913.5049234
10600,121.37284,15.28702975,-904.1360853
10700,121.50266,15.33949379,-894.9850626
10800,121.54594,15.42841111,-886.3632364
10900,121.67576,15.54963339,-878.2129759
11000,121.7623,15.65058743,-869.1288421
11100,121.9354,15.79820265,-861.0562691
11200,122.02194,15.94218706,-852.662663
11300,122.19503,16.09990077,-844.4830719
11400,122.28158,16.26690445,-836.4484254
11500,122.45467,16.44069893,-828.540057
11600,122.58449,16.64513892,-821.3876354
11700,122.67104,16.85582318,-814.3998945
11800,122.84413,17.03163984,-806.6347292
11900,122.97395,17.21208295,-799.0921264
12000,123.19032,17.41730786,-792.2522037
12100,123.32014,17.61710183,-785.4320752
12200,123.5365,17.80161671,-778.4446689
12300,123.62305,17.98079395,-771.5394425
12400,123.88269,18.15342212,-764.7109044
12500,123.96924,18.3394587,-758.389886
12600,124.1856,18.48507121,-751.4770449
12700,124.27215,18.66007828,-745.4153315
12800,124.48851,18.80584475,-739.0282262
12900,124.66161,18.94959948,-732.8733163
13000,124.8347,19.06809666,-726.5116718
13100,124.92125,19.19662113,-720.6270918
13200,125.00779,19.31250762,-714.7917289
13300,125.18088,19.43262148,-709.3105471
13400,125.35398,19.50087036,-703.0928227
13500,125.52707,19.57295863,-697.070996
13600,125.61362,19.68085772,-691.7201161
13700,125.82998,19.7616493,-685.8505442
13800,125.9598,19.88527156,-680.6113948
13900,126.13289,20.02831128,-675.519968
14000,126.21944,20.15435409,-669.9114788
14100,126.39253,20.29267685,-664.2791803
14200,126.47908,20.47482631,-659.1500156
14300,126.65217,20.67145128,-654.0524548
14400,126.73872,20.8701052,-648.8077241
14500,126.91181,21.09117505,-643.75009
14600,126.99836,21.36866099,-639.392593
14700,127.12818,21.63206668,-634.675186
14800,127.258,21.92215284,-630.2168998
14900,127.34454,22.22760833,-625.8552154
15000,127.51764,22.46143368,-620.3967691
15100,127.56091,22.73551019,-615.4299434
15200,127.734,23.02236791,-610.5735638
15300,127.82055,23.32769775,-605.9055753
15400,127.99364,23.63589969,-601.2286999
15500,128.03691,23.97729119,-596.9417581
15600,128.21001,24.29366531,-592.334548
15700,128.25328,24.64270878,-588.1352243
15800,128.42637,25.0192617,-584.2775958
15900,128.51292,25.39535338,-580.4389325
16000,128.64274,25.71749539,-576.0372442
16100,128.68601,26.05876973,-571.9225012
16200,128.77256,26.36766095,-567.5393867
16300,128.94565,26.73064821,-563.8275955
16400,129.0322,27.02630172,-559.5075942
16500,129.20529,27.36373605,-555.730876
16600,129.24856,27.66528381,-551.7060575
16700,129.37838,27.96771882,-547.8104286
16800,129.46493,28.27779076,-544.0805353
16900,129.63802,28.5939865,-540.4659856
17000,129.72457,28.88120454,-536.6101865
17100,129.81111,29.23419691,-533.3641991
17200,129.89766,29.55966929,-529.8402877
17300,130.07075,29.9005449,-526.4092878
17400,130.1573,30.22780721,-522.7973222
17500,130.24385,30.58177776,-519.3379441
17600,130.41694,30.93659665,-515.7921917
17700,130.50349,31.30280964,-512.2362111
17800,130.6333,31.70860442,-508.8827614
17900,130.71985,32.09981678,-505.2835159
18000,130.89294,32.51701169,-501.7564021
18100,130.97949,32.95336352,-498.2530881
18200,131.15258,33.44623744,-495.0590261
18300,131.23913,33.95127855,-491.8456261
18400,131.41222,34.4850497,-488.7408149
18500,131.49877,35.02567562,-485.5960353
18600,131.67186,35.6147268,-482.7030328
18700,131.75841,36.24061871,-479.9768737
18800,131.9315,36.79983826,-476.7476159
18900,132.01805,37.40151306,-473.7430527
19000,132.10459,37.99730044,-470.658143
19100,132.32096,38.62135516,-467.7106851
19200,132.45078,39.26521162,-464.8501788
19300,132.62387,39.92271999,-462.0446777
19400,132.71042,40.57317292,-459.1829187
19500,132.92678,41.21743509,-456.2816045
19600,133.01333,41.91128809,-453.6505714
19700,133.2297,42.55865365,-450.7751022
19800,133.31624,43.26698484,-448.2296072
19900,133.48933,43.87088876,-445.1686823
20000,133.61915,44.58328599,-442.677956
20100,133.83552,45.28822553,-440.1670563
20200,133.92207,45.99322481,-437.6495984
20300,134.18171,46.76332171,-435.3870364
20400,134.26825,47.47154397,-432.7548392
20500,134.3548,48.25624027,-430.3521328
20600,134.61444,49.07868981,-427.9653234
20700,134.70098,49.94860608,-425.604107
20800,134.91735,50.83006766,-423.0911695
20900,135.04717,51.85176491,-420.9259983
21000,135.26353,52.86326655,-418.4977989
21100,135.39335,54.03586801,-416.5546504
21200,135.60972,55.15659868,-414.3602538
21300,135.73954,56.39918049,-412.6408324
