Frequency [Hz],TVR [dB],G [S],B [S]
6000,123.5074619,3.17094E-05,0.000878213
6100,124.5046384,3.69664E-05,0.000897189
6200,125.4835533,4.49664E-05,0.000916286
6300,126.4366021,5.51307E-05,0.000936321
6400,127.3623304,6.67222E-05,0.000957415
6500,128.2396257,7.89643E-05,0.000975728
6600,129.0376447,9.38492E-05,0.000991753
6700,129.7328574,0.000111654,0.001007788
6800,130.3415777,0.000128098,0.001021241
6900,130.9095741,0.000147011,0.001030696
7000,131.4368655,0.000165949,0.001039042
7100,131.8827058,0.000181515,0.001044994
7200,132.2565478,0.000197525,0.001047786
7300,132.5720479,0.000212437,0.001047789
7400,132.8885482,0.0002233,0.001046433
7500,133.1133632,0.000232684,0.001040957
7600,133.2553804,0.000238149,0.001036795
7700,133.3368045,0.000241543,0.001033963
7800,133.4080055,0.000240012,0.001029915
7900,133.4502907,0.000235495,0.001028482
8000,133.4477671,0.000231506,0.001031251
8100,133.3910487,0.000226142,0.00103401
8200,133.3363914,0.000220611,0.001039425
8300,133.2998487,0.000217986,0.001047755
8400,133.1896423,0.000212412,0.001056956
8500,133.1084089,0.000206913,0.001066232
8600,133.0014491,0.000202429,0.001078451
8700,132.9273001,0.000195723,0.001090671
8800,132.8529872,0.000193016,0.001104229
8900,132.7978022,0.000190256,0.001117678
9000,132.8370827,0.000190256,0.001131372
9100,132.6844261,0.000190256,0.001144997
9200,132.7788261,0.000190251,0.001158436
9300,132.8144101,0.000194519,0.00117372
9400,132.8926623,0.000195777,0.001187129
9500,132.9976418,0.000199784,0.001203465
9600,133.1000781,0.000204027,0.001216879
9700,133.1860372,0.0002068,0.001232126
9800,133.3037747,0.000211749,0.001244058
9900,133.4084587,0.000219261,0.001259448
10000,133.5116607,0.00022509,0.001272923
10100,133.612338,0.000233088,0.001286384
10200,133.7451065,0.000243868,0.001297243
10300,133.8740385,0.000253631,0.001309349
10400,134.034722,0.000264328,0.001320388
10500,134.1913857,0.00027503,0.001326948
10600,134.3691137,0.000287199,0.001334603
10700,134.5829122,0.000298033,0.001340087
10800,134.8310877,0.000307517,0.001342827
10900,135.0691104,0.000318291,0.001345581
11000,135.2814319,0.000326688,0.001345582
11100,135.4772493,0.00033084,0.001345582
11200,135.6394959,0.000335796,0.001344326
11300,135.7774292,0.000340678,0.001340062
11400,135.8995466,0.000340727,0.001337311
11500,136.0014315,0.000344669,0.001338659
11600,136.0849984,0.000344667,0.001334567
11700,136.1225798,0.000342214,0.001331789
11800,136.1230914,0.000339677,0.001331805
11900,136.0860712,0.000335922,0.001329003
12000,136.0118117,0.000325235,0.001324965
12100,135.8964187,0.00031701,0.00132628
12200,135.7509869,0.000308814,0.001326276
12300,135.590909,0.000300716,0.001331651
12400,135.3949361,0.000288516,0.001334456
12500,135.1768255,0.000274931,0.001342431
12600,134.9300621,0.000262719,0.001350318
12700,134.7139393,0.000249048,0.001360986
12800,134.5006384,0.000237045,0.001371823
12900,134.3037597,0.000231613,0.00138281
13000,134.1631062,0.000224966,0.001399134
13100,134.0430417,0.000217998,0.001412517
13200,133.9596195,0.000212926,0.001427932
13300,133.8567544,0.000209406,0.001441827
13400,133.8196984,0.000203939,0.001454688
13500,133.7822011,0.000201277,0.001465798
13600,133.7635029,0.000198538,0.001477917
13700,133.7635034,0.000193086,0.001487485
13800,133.7450444,0.000185036,0.001496727
13900,133.6883322,0.000179858,0.001508877
14000,133.633362,0.000175898,0.001523502
14100,133.5397937,0.000170922,0.001535085
14200,133.434067,0.000168064,0.001548349
14300,133.3319052,0.000162705,0.001561998
14400,133.2094864,0.000157374,0.001575673
14500,133.1076991,0.000151828,0.001591741
14600,133.0210519,0.000146798,0.001607653
14700,132.9579359,0.000143223,0.001625469
14800,132.8161117,0.000140481,0.001639598
14900,132.8667497,0.000139132,0.001655972
15000,132.7787197,0.000137859,0.001670894
15100,132.7416139,0.00013511,0.001684481
15200,132.7234873,0.000132767,0.001699231
15300,132.7044243,0.00013235,0.001712394
15400,132.6866148,0.000130974,0.001724861
15500,132.6672293,0.000130696,0.001741411
15600,132.6301731,0.000129595,0.001755205
15700,132.5925024,0.000129595,0.001768793
15800,132.5186309,0.000131031,0.00178773
15900,132.4635988,0.000130976,0.001806862
16000,132.3715297,0.000132352,0.001821214
